                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9509,                 5.1162,                 1.8193,                0.00994,                 0.0281,                0.00821,                0.00512,                 1.4471,                 4.9208,                 1.3233,             3.4757e-05,             3.4757e-05,             3.4757e-05
                      2,                 1.4472,                 4.6076,                 1.3668,                0.46091,                 0.0669,                0.05522,                0.03299,                 1.4246,                 4.0976,                 1.3309,             6.9066e-05,             6.9066e-05,             6.9066e-05
                      3,                 1.4396,                 3.9823,                  1.394,                   0.64,                0.15824,                 0.1453,                0.08641,                 1.4417,                 3.4799,                 1.3776,             0.00010268,             0.00010268,             0.00010268
                      4,                 1.4752,                  3.486,                 1.4214,                0.70891,                0.18226,                0.22046,                0.13655,                 1.4437,                 2.9569,                 1.3834,             0.00010188,             0.00010188,             0.00010188
                      5,                 1.4532,                 3.0669,                 1.4103,                0.72219,                0.26533,                0.32715,                0.21189,                    1.4,                 2.6393,                 1.3597,             0.00010084,             0.00010084,             0.00010084
                      6,                 1.4165,                  2.837,                 1.3859,                0.68571,                 0.3011,                0.38325,                0.25221,                 1.3783,                 2.3332,                 1.3573,             9.9802e-05,             9.9802e-05,             9.9802e-05
                      7,                 1.3948,                 2.6317,                  1.375,                0.62208,                0.43396,                0.44468,                0.29471,                 1.3613,                 2.1375,                 1.3314,             9.8763e-05,             9.8763e-05,             9.8763e-05
                      8,                 1.3769,                 2.4429,                 1.3585,                0.67577,                0.46772,                 0.5043,                0.33469,                 1.3366,                 1.9706,                 1.3219,             9.7724e-05,             9.7724e-05,             9.7724e-05
                      9,                 1.3582,                 2.3076,                 1.3531,                0.76022,                0.48318,                0.55266,                0.36567,                 1.3471,                 1.8834,                 1.3238,             9.6684e-05,             9.6684e-05,             9.6684e-05
                     10,                 1.3331,                 2.1507,                 1.3326,                0.77365,                0.52687,                0.60542,                0.41749,                 1.3152,                 1.7093,                 1.3153,             9.5645e-05,             9.5645e-05,             9.5645e-05
                     11,                 1.3247,                 2.0977,                 1.3302,                0.74641,                0.55288,                0.62372,                0.42651,                 1.3067,                 1.6723,                 1.3099,             9.4605e-05,             9.4605e-05,             9.4605e-05
                     12,                 1.3202,                 1.9906,                 1.3217,                0.81584,                0.56619,                0.66376,                0.45293,                 1.2966,                 1.5935,                 1.3067,             9.3566e-05,             9.3566e-05,             9.3566e-05
                     13,                 1.3062,                 1.9321,                 1.3118,                0.79187,                 0.6053,                0.68297,                0.47315,                 1.2781,                 1.4957,                 1.3011,             9.2526e-05,             9.2526e-05,             9.2526e-05
                     14,                 1.2795,                  1.837,                  1.296,                0.78761,                0.64178,                0.70104,                0.47341,                 1.2851,                 1.4771,                 1.2933,             9.1487e-05,             9.1487e-05,             9.1487e-05
                     15,                 1.2908,                 1.7934,                 1.3028,                0.86193,                0.62031,                0.72318,                0.48692,                 1.3104,                 1.4206,                  1.305,             9.0447e-05,             9.0447e-05,             9.0447e-05
                     16,                 1.2764,                 1.7419,                 1.2976,                 0.8574,                0.63147,                0.74665,                0.51305,                 1.2812,                 1.3603,                 1.2928,             8.9408e-05,             8.9408e-05,             8.9408e-05
                     17,                 1.2527,                 1.6664,                 1.2784,                 0.8311,                0.68093,                0.77414,                0.53543,                 1.2557,                 1.3095,                 1.2717,             8.8368e-05,             8.8368e-05,             8.8368e-05
                     18,                 1.2526,                 1.6672,                 1.2756,                0.83766,                0.69148,                 0.7662,                0.52905,                  1.277,                  1.285,                 1.2914,             8.7329e-05,             8.7329e-05,             8.7329e-05
                     19,                 1.2488,                  1.619,                 1.2764,                0.84606,                0.70574,                0.79409,                0.53436,                  1.306,                  1.264,                  1.298,             8.6289e-05,             8.6289e-05,             8.6289e-05
                     20,                 1.2377,                 1.5794,                 1.2719,                 0.8692,                 0.7008,                0.80635,                0.54659,                 1.2764,                 1.2252,                 1.2826,              8.525e-05,              8.525e-05,              8.525e-05
                     21,                 1.2295,                 1.5592,                 1.2675,                0.86274,                0.71292,                0.80264,                 0.5525,                 1.2793,                 1.2105,                 1.2921,              8.421e-05,              8.421e-05,              8.421e-05
                     22,                 1.2323,                 1.5225,                 1.2641,                0.85131,                0.72033,                0.82428,                0.56823,                 1.2536,                 1.1896,                 1.2774,             8.3171e-05,             8.3171e-05,             8.3171e-05
                     23,                 1.2183,                 1.4941,                 1.2642,                0.89417,                0.69935,                0.83321,                0.57099,                 1.2771,                 1.1721,                 1.2972,             8.2131e-05,             8.2131e-05,             8.2131e-05
                     24,                 1.2089,                 1.4508,                 1.2527,                0.79773,                 0.7861,                0.85792,                0.58362,                 1.2625,                 1.1567,                 1.2781,             8.1092e-05,             8.1092e-05,             8.1092e-05
                     25,                 1.1982,                 1.4423,                 1.2458,                 0.8488,                0.76079,                0.86378,                 0.5908,                  1.275,                 1.1296,                 1.2859,             8.0052e-05,             8.0052e-05,             8.0052e-05
                     26,                 1.1977,                 1.4097,                 1.2504,                0.82965,                0.78052,                0.85709,                0.58869,                 1.2514,                 1.1129,                 1.2646,             7.9013e-05,             7.9013e-05,             7.9013e-05
                     27,                 1.1908,                 1.4092,                 1.2408,                0.87376,                0.75364,                0.84825,                0.58013,                 1.2631,                 1.1047,                 1.2688,             7.7973e-05,             7.7973e-05,             7.7973e-05
                     28,                 1.1826,                 1.3682,                 1.2407,                0.87592,                0.75884,                0.86572,                0.60203,                 1.2553,                 1.0961,                 1.2709,             7.6934e-05,             7.6934e-05,             7.6934e-05
                     29,                 1.1801,                 1.3473,                 1.2391,                0.85627,                0.77703,                0.89191,                0.60797,                 1.2474,                 1.0746,                 1.2676,             7.5894e-05,             7.5894e-05,             7.5894e-05
                     30,                 1.1773,                 1.3361,                 1.2393,                0.86173,                 0.7874,                0.88108,                0.61366,                 1.2458,                   1.06,                 1.2651,             7.4855e-05,             7.4855e-05,             7.4855e-05
                     31,                 1.1568,                 1.2988,                 1.2219,                0.88956,                0.76147,                0.89064,                0.62289,                 1.2389,                  1.045,                 1.2579,             7.3815e-05,             7.3815e-05,             7.3815e-05
                     32,                 1.1615,                 1.2978,                 1.2183,                0.84819,                0.81773,                0.89506,                0.62024,                 1.2538,                 1.0396,                 1.2673,             7.2776e-05,             7.2776e-05,             7.2776e-05
                     33,                  1.154,                 1.2854,                 1.2201,                0.87802,                 0.7935,                 0.9001,                0.62189,                 1.2501,                 1.0113,                 1.2657,             7.1736e-05,             7.1736e-05,             7.1736e-05
                     34,                 1.1568,                 1.2663,                 1.2212,                0.88635,                0.77196,                0.90413,                0.61837,                 1.2533,                 1.0215,                 1.2603,             7.0696e-05,             7.0696e-05,             7.0696e-05
                     35,                 1.1534,                 1.2723,                 1.2206,                0.88084,                0.80805,                0.90969,                0.63008,                 1.2499,                 1.0033,                 1.2593,             6.9657e-05,             6.9657e-05,             6.9657e-05
                     36,                 1.1455,                 1.2526,                 1.2135,                0.88588,                0.81168,                0.90703,                0.63155,                 1.2527,                 1.0017,                 1.2689,             6.8618e-05,             6.8618e-05,             6.8618e-05
                     37,                 1.1394,                 1.2302,                 1.2126,                0.87794,                0.81231,                0.91156,                 0.6375,                 1.2527,                0.99513,                 1.2642,             6.7578e-05,             6.7578e-05,             6.7578e-05
                     38,                 1.1376,                 1.2295,                 1.2097,                0.87829,                0.81573,                0.89955,                0.62566,                 1.2475,                0.98574,                 1.2617,             6.6539e-05,             6.6539e-05,             6.6539e-05
                     39,                 1.1431,                 1.2025,                  1.212,                0.89479,                0.78303,                0.89986,                0.62615,                 1.2746,                0.98651,                 1.2779,             6.5499e-05,             6.5499e-05,             6.5499e-05
                     40,                 1.1372,                 1.2168,                 1.2095,                0.83061,                 0.9013,                0.91941,                0.64118,                 1.2396,                0.96836,                  1.263,              6.446e-05,              6.446e-05,              6.446e-05
                     41,                 1.1288,                 1.2109,                 1.2136,                0.80681,                0.89383,                0.91716,                0.63944,                 1.2461,                0.95134,                 1.2616,              6.342e-05,              6.342e-05,              6.342e-05
                     42,                 1.1231,                 1.1914,                 1.2007,                0.89665,                0.80512,                0.91304,                0.63317,                  1.264,                0.96075,                 1.2674,             6.2381e-05,             6.2381e-05,             6.2381e-05
                     43,                 1.1268,                 1.1925,                 1.2075,                0.88967,                 0.8348,                0.92312,                0.65168,                 1.2402,                 0.9357,                   1.26,             6.1341e-05,             6.1341e-05,             6.1341e-05
                     44,                 1.1204,                 1.1732,                 1.1986,                0.92666,                0.81517,                0.91166,                0.64012,                 1.2434,                0.93784,                 1.2603,             6.0302e-05,             6.0302e-05,             6.0302e-05
                     45,                 1.1127,                 1.1666,                 1.1989,                0.87029,                0.85762,                 0.9157,                  0.643,                 1.2441,                0.94384,                 1.2628,             5.9262e-05,             5.9262e-05,             5.9262e-05
                     46,                 1.1076,                 1.1477,                 1.1967,                0.86892,                0.86036,                0.93122,                0.64607,                 1.2613,                0.93137,                 1.2711,             5.8223e-05,             5.8223e-05,             5.8223e-05
