Horodateur,Quels sont les principaux défis que vous rencontrez pour retrouver les informations sur les verres gravés ? ,  Combien de temps passez-vous en moyenne à identifier un verre gravé ?,  Utilisez-vous des outils pour faciliter l’identification des gravures ?,  Seriez-vous intéressé par une solution numérique qui permettrait d’accélérer ce processus ?,  Dans quelles situations aimeriez-vous avoir un outil automatisé pour vous aider dans la gestion des verres gravés ?  
02/10/2024 18:00:02,"Certains fabricant les font face avant et d'autre face arriere, ca modifie la precision en pointant sur les fortes correction",Moins de 5 minutes,Non,Peut-être,Forte correction surtout myopique qui rends la recherche difficile
02/10/2024 18:01:46,Manque de clarté dans les gravures,5 à 10 minutes,guide des gravures,Peut-être,quand les gravures sont difficiles à voir à l'oeil nu
02/10/2024 18:02:52,"Recherche manuelle longue, Beaucoup de gravures différentes selon le type de verre, la marque... ",5 à 10 minutes,Le guide des gravures de Bien vu,"Oui, beaucoup",Identifier plus facilement des verres de marques que l'on connaît moins ou peu
02/10/2024 18:06:22,Recherche manuelle longue,Moins de 5 minutes,Guide des gravures,"Oui, beaucoup",Lors d'une vente avec un nouveau client
02/10/2024 18:12:10,"Manque de clarté dans les gravures, Recherche manuelle longue",Moins de 5 minutes,Kifekoi,"Non, pas intéressé",Pas besoin 
02/10/2024 18:22:28,"Recherche manuelle longue, Difficulté à retrouver les informations précises",5 à 10 minutes,Sur internet kifekoi,"Oui, beaucoup",Pour les non clients qui viennent faire les lunettes chez moi pour savoir ce qu ils avaient avant. 
02/10/2024 18:29:31,"Recherche manuelle longue, Difficulté à retrouver les informations précises",5 à 10 minutes,gravure france,"Oui, beaucoup",lors d’une recherche de verre pour gamme qualité et traitement 
02/10/2024 18:30:00,Recherche manuelle longue,Moins de 5 minutes,Lampe,Peut-être,Apprentissage
02/10/2024 18:38:04,Recherche manuelle longue,Moins de 5 minutes,Loupe mire Essilor,Peut-être,Analyse des verres vendus par la concurrence: quid des marques distributeur ??
02/10/2024 18:38:27,Difficulté à retrouver les informations précises,5 à 10 minutes,Le soleil ,"Oui, beaucoup","Eh bien lorsque le client change de verres progressifs.
"
02/10/2024 18:39:50,Manque de clarté dans les gravures,5 à 10 minutes,Les néons du magasin ,"Oui, beaucoup",Pour des verres provenant de l'étranger 
02/10/2024 18:40:55,"Manque de clarté dans les gravures, manque une ""encyclopedie"" vraiment complète des gravures ",Plus de 10 minutes,internet,Peut-être,a chaque fois que j'ai un nouveau client avec des verres inconnus
02/10/2024 18:53:14,Recherche manuelle longue,Plus de 10 minutes,Loupe lumineuse,Peut-être,Historique des équipements du nouveau client
02/10/2024 18:57:49,Difficulté à retrouver les informations précises,Moins de 5 minutes,Non,Peut-être,Identifier un verre client et faire les vérifications des équipements 
02/10/2024 19:00:15,Difficulté à retrouver les informations précises,5 à 10 minutes,Site  France optique ,"Oui, beaucoup",Analyse du type de verre et sa correspondance en fonction des verriers ( niveau de géométrie)
02/10/2024 19:08:42,Recherche manuelle longue,5 à 10 minutes,Manuel de gravures ,"Oui, beaucoup",Si on ne trouve pas la gravure dans un manuel 
02/10/2024 19:11:45,"Manque de clarté dans les gravures, Recherche manuelle longue",5 à 10 minutes,Liste des gravures ,"Oui, beaucoup",Nouveau client -> connaître le verre qu’il porte 
02/10/2024 19:19:48,Manque de clarté dans les gravures,Moins de 5 minutes,Non,"Non, pas intéressé",Oui
02/10/2024 19:23:01,Difficulté à retrouver les informations précises,5 à 10 minutes,Des bons yeux pour voir les gravures et de la patience pour chercher dans les catalogues ,"Non, pas intéressé",.
02/10/2024 19:25:20,Recherche manuelle longue,5 à 10 minutes,France optique ,"Oui, beaucoup",Lors d’une vente à un nouveau client pour savoir quel type de verre il porte
02/10/2024 19:25:59,"Recherche manuelle longue, Difficulté à retrouver les informations précises",5 à 10 minutes,Non.,"Oui, beaucoup",Pour un nouveau client afin de lui proposer un verre équivalent 
02/10/2024 19:29:36,Verres âbimés rendant l'identification des gravures trés difficile ,Moins de 5 minutes,Oui loupe eclairante et guide des gravures bien vu,Peut-être,Clients exterieurs
02/10/2024 19:29:36,"Manque de clarté dans les gravures, Difficulté à retrouver les informations précises",5 à 10 minutes,Non,Peut-être,Quand je ne reconnais pas les gravures 
